DOI,Title,Author,Publication Title,PublicationDate,URL,Keywords,Abstract,Publisher,Field of Study ,IsDataFusionPaper,DataFusionClassificationReason
,,,,,,,,,,,
10.1186/s12859-021-04105-8,Establishing a consensus for the hallmarks of cancer based on gene ontology and pathway annotations,"Chen, Yi and Verbeek, Fons. J. and Wolstencroft, Katherine",BMC BIOINFORMATICS,2021,https://doi.org/10.1186/s12859-021-04105-8,Gene ontolog; The hallmarks of cancer; Semantic similarity; Co-expression network,"Background The hallmarks of cancer provide a highly cited and well-used conceptual framework for describing the processes involved in cancer cell development and tumourigenesis. However, methods for translating these high-level concepts into data-level associations between hallmarks and genes (for high throughput analysis), vary widely between studies. The examination of different strategies to associate and map cancer hallmarks reveals significant differences, but also consensus. Results Here we present the results of a comparative analysis of cancer hallmark mapping strategies, based on Gene Ontology and biological pathway annotation, from different studies. By analysing the semantic similarity between annotations, and the resulting gene set overlap, we identify emerging consensus knowledge. In addition, we analyse the differences between hallmark and gene set associations using Weighted Gene Co-expression Network Analysis and enrichment analysis. Conclusions Reaching a community-wide consensus on how to identify cancer hallmark activity from research data would enable more systematic data integration and comparison between studies. These results highlight the current state of the consensus and offer a starting point for further convergence. In addition, we show how a lack of consensus can lead to large differences in the biological interpretation of downstream analyses and discuss the challenges of annotating changing and accumulating biological data, using intermediate knowledge resources that are also changing over time.",BMC Bioinformatics,Gene Ontology,Yes,This study aims to compare multiple mapping schemes and data from multiple time points.
10.1016/j.inffus.2020.10.022,Tensor-based restricted kernel machines for multi-view classification,"Houthuys, Lynn and Suykens, Johan A. K.",INFORMATION FUSION,2021,https://doi.org/10.1016/j.inffus.2020.10.022,Multi-view learning; Tensor; Kernel-based learning,"Multi-view learning deals with data that is described through multiple representations, or views. While various real-world data can be represented by three or more views, several existing multi-view classification methods can only handle two views. Previously proposed methods usually solve this issue by optimizing pairwise combinations of views. Although this can numerically deal with the issue of multiple views, it ignores the higher order correlations which can only be examined by exploring all views simultaneously. In this work new multi-view classification approaches are introduced which aim to include higher order statistics when three or more views are available. The proposed model is an extension to the recently proposed Restricted Kernel Machine classifier model and assumes shared hidden features for all views, as well as a newly introduced model tensor. Experimental results show an improvement with respect to state-of-the art pairwise multi-view learning methods, both in terms of classification accuracy and runtime",Elsevier,Data Science,No,"While this paper does use five real-world datasets, they are used to test the accuracy and effectiveness of their model instead of being combined in some fashion."
10.1109/TPWRS.2020.3035639,Real-Time Energy Disaggregation at Substations With Behind-the-Meter Solar Generation,"Li, Wenting and Yi, Ming and Wang, Meng and Wang, Yishen and Shi, Di and Wang, Zhiwei",IEEE TRANSACTIONS ON POWER SYSTEMS,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9247468,"Behind-the-meter solar generation; Dictionary
learning; Energy disaggregation; Sparse coding","Energy Disaggregation at substations (EDS) is challenging because measurements are mostly aggregated over multiple types of loads, and the existence of some loads such as behind-the-meter solar is unknown to the operator. This paper for the first time addresses this so-called “partial labels” issue in energy disaggregation and develops a model-free EDS method to separate individual loads, including BTM solar, from the total energy consumption in real-time. Our approach learns the patterns of all loads offline from recorded historical datasets with partial labels. Compared with conventional model-free methods that require either pure measurements of each load for training or full labels of each training sample, our method can extract load patterns from partially labeled aggregated data and thus, is more applicable to practical scenarios and alleviates the annotation burden for the operator. Specifically, we propose to solve a new dictionary learning problem, where column-sparsity and incoherence regularization terms are added to identify unlabeled loads and learn distinctive patterns of each load. In real-time disaggregation, our approach solves an improved sparse decomposition problem where one decomposes the aggregated measurements as a linear combination of some representative recorded measurements with known disaggregation learned in the offline stage. Numerical experiments are reported to validate our method.",IEEE Transactions on Power Systems,Applied Energy,Yes,The paper uses the NREL dataset which contains the solar measurements in one year with a 5 minute resolution. It also uses the EnerNoc dataset which has 100 different industrial loads from different sites and also has a 5-minute resolution.
10.1016/j.eswa.2021.115126,Modality adaptation in multimodal data,"Razzaghi, Parvin and Abbasi, Karim and Shirazi, Mahmoud and Shabani, Niloofar",EXPERT SYSTEMS WITH APPLICATIONS,2021,https://doi.org/10.1016/j.eswa.2021.115126 ,Modality adaptation; Multimodal learning; Knowledge transferring; Knowledge fusion,"Recently, multimodal data has received much attention. In classical machine learning, it is assumed that all data comes from one modality while in multimodal machine learning, the information comes from different modalities. In multimodal machine learning, transiting, or fusing knowledge from different modalities is an important step. Hence, in these steps, the different marginal distributions between different modalities should be taken into account. However, in recent years, modality adaptation has not gotten enough attention. The motivation of this work is to consider modality adaptation to effectively encode the shared common or complementary knowledge in multimodal data. To reduce the modality shift, we present a new perspective on the modality adaptation algorithm. In multimodal data, by applying the existing domain adaptation techniques to reduce the modality shift, a problem arises because of the insufficient capability of those techniques in preserving complementary knowledge. Our proposed modality adaptation is designed such that it simultaneously considers both the shared and complementary knowledge of each modality while preserving the discriminative ability of each modality in the label space. To evaluate the proposed approach, we have applied it to two different multimodal applications: multi-view object detection and RGBD image semantic segmentation. Our results show that the proposed modality adaptation technique is successful in transferring and fusing knowledge.",Elsevier,Machine Learning,Yes,The paper combines two datasets when they train two separate CNN models for each modality that later they are combined with a late fusion network.
10.1049/ipr2.12252,Reversible data hiding for encrypted image based on adaptive prediction error coding,"Tang, Zhenjun and Pang, Mingyuan and Yu, Chunqiang and Fan, Guijin and Zhang, Xianquan",IET IMAGE PROCESSING,2021,https://doi.org/10.1049/ipr2.12252,Codes; Cryptography; Image and video coding; Computer vision and image processing techniques; Data security; Spatial and pictoral databases,"Reversible data hiding (RDH) is a useful technique of data security. Embedding capacity is one of the most important performance of RDH for encrypted image. Many existing RDH algorithms for encrypted image do not reach desirable embedding capacity yet. To address this problem, a new RDH algorithm is proposed for encrypted image based on adaptive prediction error coding. The proposed RDH algorithm uses a block-based encryption scheme to preserve spatial correlation of original image in the encrypted domain and exploits a novel technique called adaptive prediction error coding to vacate room for data embedding. A key contribution of the proposed RDH algorithm is the adaptive prediction error coding. It can efficiently vacate room from encrypted image block by adaptively coding prediction errors according to block content and thus contributes to a large embedding capacity. Many experiments on benchmark image databases are done to validate performance of the proposed RDH algorithm. The results show that the average embedding rates on the open databases of UCID, BOSSBase and BOWS-2 are 1.7081, 2.4437 and 2.3083 bpp, respectively. Comparison results illustrate that the proposed RDH algorithm outperforms some state-of-the-art RDH algorithms in embedding capacity.",Iet Image Processing ,Data Security,No,"The paper uses a few open image databases to test the performance of its algorithms, but it doesn't combine them in any way."
