DOI,Title,Author,Publication Title,Publication Date,URL,Keywords,Abstract,Publisher,Field of Study ,Is Data Fusion Paper,Data Fusion Classification Reason
10.1016/j.aei.2023.102123,Air traffic controllers' mental fatigue recognition: A multi-sensor information fusion-based deep learning approach,"Yu, Xiaoqing and Chen, Chun-Hsien and Yang, Haohan",{ADVANCED} {ENGINEERING} {INFORMATICS},2023,https://www.sciencedirect.com/science/article/pii/S1474034623002513,"Air traffic management, Fatigue detection, Multi-modal information fusion, Human-automation collaboration, Intelligent ATC","With the growing density of air passenger traffic, accurately recognizing the level of mental fatigue ({MF}) experienced by air traffic controllers ({ATCOs}) is crucial for developing intelligent {ATCOs}' mental state moni-toring systems, which can achieve a more effective and safer human-machine cooperative pattern. However, the existing methods for recognizing {ATCOs}' {MF} face significant challenges due to pattern variations between {ATCOs} and sensor artifacts. This study introduces a framework for {ATCOs}' {MF} recognition, utilizing a deep neural network called {RecMF}, which incorporates multi-sensor information fusion to enhance the performance of {MF} detection. Specifically, the {RecMF} employs an attention-enabled {CNN}-{LSTM} architecture that simultaneously captures time-series feature representations of electroencephalogram ({EEG}) signals and eye movements. To validate the effectiveness of {RecMF}, a fatigue-inducing experiment is conducted involving 28 subjects who are tasked with performing a series of air traffic control ({ATC}) tasks. The model's performance is evaluated across various time horizons and typical cognitive tasks to gain insights into its capabilities. The evaluation results indicate that the proposed model outperforms other existing methods, thereby confirming its feasibility and effectiveness. Additionally, the effects of {MF} on {ATCOs}' cognitive performance are analyzed using analysis of variance ({ANOVA}). The results reveal that higher levels of {MF} significantly reduce {ATCOs}' reaction speed and operational accuracy.",Elsevier,"Health Sciences, Aviation Technology",No,This is a research paper. Data has been collected from individuals to validate the effectiveness of RecMF.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
10.1016/j.aei.2023.102120,Spatial-temporal dual-channel adaptive graph convolutional network for remaining useful life prediction with multi-sensor information fusion,"Zhang, Xingwu and Leng, Zhenjiang and Zhao, Zhibin and Li, Ming and Yu, Dan and Chen, Xuefeng",{ADVANCED} {ENGINEERING} {INFORMATICS},"2023,",https://www.sciencedirect.com/science/article/pii/S1474034623002483,"RUL prediction, Adaptive graph convolution, Spatial–temporal graph, Multi-sensor fusion","Due to complex spatial correlations, dynamic temporal trends, and heterogeneities, accurate remaining useful life (RUL) prediction is a challenging task for multi-sensor complex systems. Existing frameworks usually design complex graph convolutional networks (GCNs) for multi-sensor information fusion to capture shared patterns with predefined graphs. However, predefined graphs do not necessarily reflect correct and complete correlations among sensors. Furthermore, dynamic temporal trend extraction based on an iterative mechanism will bring the challenge of error accumulation from a global perspective and ignore the heterogeneous correlations. To overcome these limitations, a novel graph neural network framework, namely, Spatial–temporal Dual-channel Adaptive Graph Convolutional Network (SDAGCN), is proposed for RUL prediction. It mainly consists of dual channels, including the local and global spatial–temporal modules with learnable graphs, which adaptively capture hidden spatial correlations. Benefiting from these two modules, SDAGCN can effectively extract hidden spatial correlations along the local and global time axis and heterogeneities. Finally, the superior performance of our model is verified by two simulated aircraft engine dataset with multiple sensors.",Elsevier,"Computer Science, Spatial Analysis",Yes,"Two turbofan engine datasets are used in this paper, both of which simulate the real degradation."
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
