Method Name,Method Key,DOI,Description,U1,U3,,,,,,Output Data  
,,,,,,,,,,,
Gene ontology mapping schemes,6fe8298a-59ff-4440-b6eb-46ad45c1702a,10.1186/s12859-021-04105-8,"The method compares the differences and consensus between studies that have attempted to formalise the descriptions of the cancer hallmarks at the data level. It compared the Gene Ontology and biological pathway terms selected to represent individual cancer hallmarks, both directly and by analysing their semantic similarity. In addition, it examined the differences between the sets of genes that were annotated with the selected GO terms and biological pathways.","Most gene ontology terms were not selected by all mapping schemes and many were unique to one scheme. Even the term shared by four schemes was mapped to different cancer hallmarks. For most hallmarks, the majority of GO terms were only selected by 1 or 2 schemes, and a small proportion of terms were selected by 3 schemes.","Current semantic similarity methods assume the same underlying knowledge structure. In reality, the authors were comparing annotations derived from different versions of the knowledge structure. For a fair comparison, the authors needed to know if the same GO terms were available for each different study to select, or if some were only introduced later, or became obsolete between time-points. Their analysis of the GO topological structure revealed that most terms were available through the whole time-period, but that the researchers simply did not select the same (or similar) terms.",,,,,,
Tensor CCA,41b5b08f-28ed-426a-8570-03a8659a36c7,10.1016/j.inffus.2020.10.022,This method finds higher-order correlations when three or more views are available by incorporating principles of tensor learning. It can furthermore be seen as a combination of both early and late fusion techniques.,"The Wilcox signed-rank test can state with 80% certainty that TMV-RKM outperforms these baseline methods significantly, however 80% confidence isn't that high, especially when considering that there were only five datasets used in testing.",There were a small number of datasets used which might not be enough to throughly test the method and ensure that it still achieves acceptable results with edge cases.,,,,,,
Model-free energy disaggregation at substations (EDS),7776c227-9284-42a1-bd77-607860f33198,10.1109/TPWRS.2020.3035639,"The method learns the patterns of all loads offline from recorded historical datasets with partial labels. Compared with conventional model-free methods that require either pure measurements of each load for training or full labels of each training sample, the method can extract load patterns from partially labeled aggregated data. Specifically, it can solve a new dictionary learning problem, where column-sparsity and incoherence regularization terms are added to identify unlabeled loads and learn distinctive patterns of each load. In real-time disaggregation, the approach solves an improved sparse decomposition problem where one decomposes the aggregated measurements as a linear combination of some representative recorded measurements with known disaggregation learned in the offline stage.","The paper combines offline learning of load patterns from partially labeled aggregate data and online disaggregation of different loads from the obtained real-time measurements to extract information from aggregate measurements with partial labels, which can lead to flawed or inaccurate data from the real-time measurements and outdated data from the offline learning.","If load l does not appear in any of the partial
labels of the training data, it is very challenging to identify and
disaggregate load l, because the patterns of load l are all masked
by other loads, and its existence is unknown to the operator",,,,,,
Adversarial discriminative domain adaptation,e4fe7e79-6c78-417d-9b90-94b857454dc9,10.1016/j.eswa.2021.115126,"The main goal in ADDA is to find an embedding subspace using a minimax game strategy. In ADDA, there are three networks: two feature extraction networks for two domains and a discriminator network that distinguishes between samples drawn from the source and target domains.","This study utilized stacked denoising autoencoders to extract features in document sentiment analysis. As a domain adaptation technique, they have used the union of the source and target data to train a stacked denoising autoencoder (SDA) to learn feature representation. Then, a classifier is trained on the learned new representation. However, sentiment analysis is unrelable since it tends to simplify data and take it out of context, and it can also have biases towards data that comes up more frequently. Sentiment also changes over time, so this research may not be reliable long term.",One of the challenges in the optimization of any deep learning algorithm is the local minima problem which arises when the cost function has many local minimums. Another limitation is finding the optimal neural network architecture for a specific application.,,,,,,
Embedding,845d6f42-f9ac-4ea2-94a9-97cba3fa5ff1,10.1049/ipr2.12252,The paper uses image databases to test the average embedding rate of grey images for multiple algorithms.,"The methods in this study struggle with large sets of data, which limit the embedding rate. If the block size is too large, spatial correlation in the block will be weakened and thus some prediction errors will become large numbers, which also restrict the improvement of embedding rate.","Not all RDH algorithms were tested when making this paper, they could test RDH algorithms for encrypted image, such as RDH algorithms via steganography coding, colour image based RDH algorithms using channel correlation, and multi-image based RDH algorithms.",,,,,,
